name_nm,status_ky,last_upd_src_sys_ky,error_flag_in,participant_no,change_ind,date_of_birth,date_of_death,channelset_ky,talent_type_ky,preferred_flag,isni,language_ky
Matthew McDonough,R,1,,434774,1.0,,,,1.0,Y,,21.0
Graham Edwards,R,1,,160650,1.0,,,,1.0,Y,,21.0
Larry Funk,R,1,,143249,1.0,,,,1.0,N,,21.0
Italo Pizzolante,R,1,,593250,1.0,,,,1.0,N,,21.0
M. Nance,R,1,,770510,1.0,,,,1.0,N,,21.0
Tom Bender,R,1,,161658,1.0,,,,1.0,N,,21.0
See Sub-songs,R,1,,1128573,1.0,,,,1.0,N,,21.0
Thom Kidd,R,1,,138297,1.0,,,,1.0,N,,21.0
Drew Dixon,R,1,,156006,1.0,,,,1.0,N,,21.0
Fernando Z. Maldonado,R,1,,397641,1.0,,,,1.0,Y,,21.0
Patrick Ingunza,R,1,,1734331,1.0,,,,1.0,N,,21.0
Simon Franglen,R,1,,142421,1.0,,,,1.0,N,,21.0
Thomas Gallia,R,1,,153140,1.0,,,,1.0,N,,21.0
Stuart Brawley,R,1,,314138,1.0,,,,1.0,N,,21.0
J. Russell,R,1,,73334,1.0,,,,1.0,N,,21.0
Tommy Torres,R,1,,389429,1.0,,,,1.0,N,,21.0
Sylvia Massari,R,1,,325314,1.0,,,,1.0,N,,21.0
Rita Marques,R,1,,355383,1.0,,,,1.0,N,,21.0
Manuel Esperón,R,1,,310510,1.0,,,,1.0,N,,21.0
Rhymefest,R,1,,395725,1.0,,,,1.0,N,,21.0
La Mari De Chambao,R,1,,1580639,1.0,,,,1.0,N,,21.0
Franco de Vita,R,1,,315641,1.0,,,,1.0,Y,,21.0
Morgan C. Robinson,R,1,,55013,1.0,,,,1.0,N,,21.0
Martin Horenberg,R,1,,169072,1.0,,,,1.0,N,,21.0
Steve Andrew Crosby,R,1,,370388,1.0,,,,1.0,N,,21.0
Ricky Martin feat. La Mari De Chambao,R,1,,981652,1.0,,,,16.0,N,,21.0
Bob Patmore,R,1,,370389,1.0,,,,1.0,N,,21.0
Joseph Cartagena,R,1,,299532,1.0,,,,1.0,N,,21.0
Victor Cabrera,R,1,,715167,1.0,,,,1.0,N,,21.0
Mikkey,R,1,,1302933,1.0,,,,1.0,N,,21.0
Felipe Elgueta,R,1,,142003,1.0,,,,1.0,N,,21.0
KLEBIN,R,1,,2021721,1.0,,,,1.0,N,,21.0
Ernesto Cortázar,R,1,,122068,1.0,,,,1.0,N,,21.0
Chad Gray,R,1,,424120,1.0,,,,1.0,Y,,21.0
Soraya Lamilla,R,1,,718809,1.0,,,,1.0,N,,21.0
Avion,R,1,,517,1.0,,,,15.0,Y,,21.0
Ted Wohlsen,R,1,,140555,1.0,,,,1.0,N,,21.0
Gale Canada,R,1,,166927,1.0,,,,1.0,N,,21.0
Ray Staff,R,1,,146759,1.0,,,,1.0,Y,,21.0
Paul Anka,R,1,,303,1.0,,,,1.0,Y,,21.0
Dennis Patton,R,1,,270894,1.0,,,,1.0,N,,21.0
Bump J,R,1,,850256,1.0,,,,1.0,N,,21.0
Sue Anne Carwell,R,1,,83953,1.0,,,,1.0,N,,21.0
Francisco Saldaña,R,1,,745356,1.0,,,,1.0,N,,21.0
Daddy Yankee,R,1,,517063,1.0,,,,1.0,Y,,21.0
Ronaldo Santos,R,1,,370385,1.0,,,,1.0,N,,21.0
Joel Singer,R,1,,740123,1.0,,,,1.0,N,,21.0
Diane Warren,R,1,,40550,1.0,,,,1.0,N,,21.0
