name_nm,perf_artist_tx,duration_no,isrc_number_tx,perf_pline_tx,status_ky,last_upd_src_sys_ky,explicit_lyrics_in,rep_owner_ky,taken_from_isrc_id,track_media_ky,track_type_ky,updated_flag_in,track_ext,raas_track_no,track_no,error_flag_in,track_subtype_ky,set_complete_in,c_line,grid_id,related_audio_isrc,live_indicator,rep_owner_parent_ky,raas_init_dt,set_complete_dt,language_ky,confidential_flag,related_audio_isrc_reviewed_in,cline_for_lyrics,audio_encoding_ky,video_encoding_ky,orig_release_date,orig_rel_date_override
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,Q1411051120121109,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,S0927275020050618,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,T0927265920050618,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,V1430175320050327,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,W0927278020050618,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,W1430208020050327,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,Z1430239020050327,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,A1629273820050327,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,B1419464720050327,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,C0417347020050428,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,C0759327420050617,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,C1419469820050327,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,C2012058020050609,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,F1648547720050327,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,G1059227920050628,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,H0512372320050628,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,H0839291120051017,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,H1419446920050327,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,I1004280720040928,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,I1419513120050327,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,J0512378820050628,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,J1419472920050327,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,J1419587020050327,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,K0833098020050628,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,L0512377220050628,,0,,,,,,0,,,0,,,,0.0,,,
